Feature,Mean_SHAP_Value,Classe,Class_Rank
Pereira_level,0.001116570360487629,C,2
Paso_de_Lugo_level,0.0009542416285145084,C,2
Aguiar_level,0.0005053614275565773,C,2
Salsipuedes_level,0.0004262257573630341,C,2
Paso_de_las_Toscas_level,0.00023321335972545276,C,2
Sarandi_del_Yi_level,0.00021005112231702408,C,2
Laguna_II_level,8.505773270671915e-05,C,2
Manuel_Díaz_level,7.238001363255234e-05,C,2
Cuñapirú_level,1.644467885404472e-05,C,2
Polanco_level,9.740570949775786e-06,C,2
Laguna_I_level,9.162012483528367e-06,C,2
Coelho_level,7.349886966773468e-06,C,2
Cuñapirú_precipitation,0.003279936070905722,B,1
Pereira_precipitation,0.0032795769209937563,B,1
Salsipuedes_precipitation,0.002984161184119442,B,1
Bonete_precipitation,0.0027249023178597793,B,1
Mazagano_precipitation,0.002724064007378566,B,1
San_Gregorio_precipitation,0.0025441885623618135,B,1
Durazno_precipitation,0.00190485874860362,B,1
Mercedes_precipitation,0.0018027025828358599,B,1
Paso_de_los_toros_precipitation,0.001801767294119299,B,1
Coelho_precipitation,0.001504178032297705,B,1
Paso_de_las_Toscas_precipitation,0.0014719374326908846,B,1
Laguna_I_precipitation,0.0014323994983236356,B,1
Mercedes_level,0.06689491106697218,A,0
Bonete_level,0.05062202023840568,A,0
San_Gregorio_level,0.048356621123089895,A,0
Durazno_level,0.010863028249417334,A,0
Aguiar_precipitation,0.00859072050365901,A,0
Paso_de_los_toros_level,0.006562681361989045,A,0
Paso_de_Lugo_precipitation,0.0060003165371117165,A,0
Manuel_Díaz_precipitation,0.005892128223163961,A,0
Sarandi_del_Yi_precipitation,0.005692499683438837,A,0
Polanco_precipitation,0.004726971186252717,A,0
Mazagano_level,0.003362668622415643,A,0
Laguna_II_precipitation,0.00329828128644997,A,0
