origem_id,origem_nome,destino_id,destino_nome,distancia,duracao
1339,Cuñapirú,1963,Bonete,206 km,2 hours 39 mins
1339,Cuñapirú,2206,Durazno,256 km,3 hours 5 mins
1339,Cuñapirú,2145,Mercedes,369 km,4 hours 44 mins
1339,Cuñapirú,1915,Paso_de_los_toros,192 km,2 hours 23 mins
1339,Cuñapirú,1697,Laguna_II,159 km,2 hours 54 mins
1339,Cuñapirú,1338,Manuel_Díaz,16.6 km,23 mins
1339,Cuñapirú,1658,Aguiar,133 km,2 hours 5 mins
1339,Cuñapirú,1613,Paso_de_las_Toscas,109 km,1 hour 45 mins
1339,Cuñapirú,2153,Paso_de_Lugo,330 km,4 hours 8 mins
1339,Cuñapirú,1653,Laguna_I,151 km,2 hours 43 mins
1339,Cuñapirú,1617,Mazagano,175 km,2 hours 38 mins
1339,Cuñapirú,1743,Pereira,156 km,2 hours 32 mins
1339,Cuñapirú,1526,Coelho,74.3 km,1 hour 24 mins
1339,Cuñapirú,2257,Polanco,303 km,4 hours 7 mins
1339,Cuñapirú,1819,Salsipuedes,189 km,2 hours 27 mins
1339,Cuñapirú,1826,San_Gregorio,194 km,2 hours 31 mins
1339,Cuñapirú,2215,Sarandi_del_Yi,347 km,4 hours 11 mins
1339,Cuñapirú,2237,Villa_Soriano,405 km,5 hours 19 mins
1963,Bonete,1339,Cuñapirú,206 km,2 hours 40 mins
1963,Bonete,2206,Durazno,78.1 km,1 hour 1 min
1963,Bonete,2145,Mercedes,221 km,3 hours 0 mins
1963,Bonete,1915,Paso_de_los_toros,16.2 km,22 mins
1963,Bonete,1697,Laguna_II,174 km,2 hours 38 mins
1963,Bonete,1338,Manuel_Díaz,189 km,2 hours 16 mins
1963,Bonete,1658,Aguiar,286 km,3 hours 27 mins
1963,Bonete,1613,Paso_de_las_Toscas,263 km,3 hours 10 mins
1963,Bonete,2153,Paso_de_Lugo,177 km,2 hours 19 mins
1963,Bonete,1653,Laguna_I,166 km,2 hours 27 mins
1963,Bonete,1617,Mazagano,329 km,4 hours 0 mins
1963,Bonete,1743,Pereira,227 km,3 hours 46 mins
1963,Bonete,1526,Coelho,228 km,2 hours 46 mins
1963,Bonete,2257,Polanco,125 km,2 hours 3 mins
1963,Bonete,1819,Salsipuedes,41.6 km,44 mins
1963,Bonete,1826,San_Gregorio,128 km,1 hour 40 mins
1963,Bonete,2215,Sarandi_del_Yi,169 km,2 hours 7 mins
1963,Bonete,2237,Villa_Soriano,258 km,3 hours 33 mins
2206,Durazno,1339,Cuñapirú,256 km,3 hours 4 mins
2206,Durazno,1963,Bonete,78.2 km,1 hour 1 min
2206,Durazno,2145,Mercedes,184 km,2 hours 24 mins
2206,Durazno,1915,Paso_de_los_toros,66.7 km,47 mins
2206,Durazno,1697,Laguna_II,224 km,3 hours 3 mins
2206,Durazno,1338,Manuel_Díaz,239 km,2 hours 41 mins
2206,Durazno,1658,Aguiar,337 km,3 hours 51 mins
2206,Durazno,1613,Paso_de_las_Toscas,313 km,3 hours 35 mins
2206,Durazno,2153,Paso_de_Lugo,99.6 km,1 hour 19 mins
2206,Durazno,1653,Laguna_I,216 km,2 hours 53 mins
2206,Durazno,1617,Mazagano,379 km,4 hours 25 mins
