Feature,Mean_SHAP_Value,Classe,Class_Rank
Aguiar_level,0.000505361427556577,C,2
Aguiar_precipitation,0.00859072050365901,A,0
Bonete_level,0.0506220202384057,A,0
Bonete_precipitation,0.00272490231785978,B,1
Coelho_level,7.34988696677443E-06,C,2
Coelho_precipitation,0.00150417803229771,B,1
Cuñapirú_level,1.64446788540458E-05,C,2
Cuñapirú_precipitation,0.00327993607090572,B,1
Durazno_level,0.0108630282494173,A,0
Durazno_precipitation,0.00190485874860362,B,1
Laguna_I_level,9.16201248352944E-06,C,2
Laguna_I_precipitation,0.00143239949832364,B,1
Laguna_II_level,8.50577327067198E-05,C,2
Laguna_II_precipitation,0.00329828128644997,A,0
Manuel_Díaz_level,7.23800136325527E-05,C,2
Manuel_Díaz_precipitation,0.00589212822316396,A,0
Mazagano_level,0.00336266862241564,A,0
Mazagano_precipitation,0.00272406400737857,B,1
Mercedes_level,0.0668949110669722,A,0
Mercedes_precipitation,0.00180270258283586,B,1
Paso_de_las_Toscas_level,0.000233213359725453,C,2
Paso_de_las_Toscas_precipitation,0.00147193743269088,B,1
Paso_de_los_toros_level,0.00656268136198904,A,0
Paso_de_los_toros_precipitation,0.0018017672941193,B,1
Paso_de_Lugo_level,0.000954241628514508,C,2
Paso_de_Lugo_precipitation,0.00600031653711172,A,0
Pereira_level,0.00111657036048763,C,2
Pereira_precipitation,0.00327957692099376,B,1
Polanco_level,9.74057094977743E-06,C,2
Polanco_precipitation,0.00472697118625272,A,0
Salsipuedes_level,0.000426225757363034,C,2
Salsipuedes_precipitation,0.00298416118411944,B,1
San_Gregorio_level,0.0483566211230899,A,0
San_Gregorio_precipitation,0.00254418856236181,B,1
Sarandi_del_Yi_level,0.000210051122317024,C,2
Sarandi_del_Yi_precipitation,0.00569249968343884,A,0
